(2017/08/28-03:12:29) ::1 en-US,en;q=0.8 Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36 
(2017/09/07-07:52:58) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:53:03) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:54:29) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:56:11) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:56:36) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:57:57) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:58:29) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-07:59:23) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:00:43) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:02:12) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:07:46) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:09:08) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:10:11) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:10:22) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:10:45) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:10:45) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:11:21) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:11:21) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:12:28) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:13:53) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:14:18) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:16:05) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:16:09) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:17:42) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:17:54) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:18:10) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:18:22) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:18:30) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:19:11) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:19:59) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:23:22) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:26:23) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:41:44) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:43:45) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:43:59) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:44:15) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:44:24) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:46:54) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:47:06) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:47:17) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:47:58) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:51:10) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
(2017/09/07-08:52:04) 127.0.0.1 en-US,en;q=0.5 Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 
